"dep","partido","uf","frente","data","coord_presi"
"ADILTON SACHETTI","PSB","MT","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"AGUINALDO RIBEIRO","PP","PB","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ALAN RICK","PRB","AC","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ALBERTO FRAGA","DEM","DF","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ALESSANDRO MOLON","PT","RJ","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ALEX CANZIANI","PTB","PR","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ALEXANDRE BALDY","PSDB","GO","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ALEXANDRE SERFIOTIS","PSD","RJ","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ALFREDO KAEFER","PSDB","PR","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ALTINEU CÔRTES","PR","RJ","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ALUISIO MENDES","PSDC","MA","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ANA PERUGINI","PT","SP","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ANDRÉ ABDON","PRB","AP","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ANDRÉ DE PAULA*","PSD","PE","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ANDRÉ FIGUEIREDO","PDT","CE","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ANDRE MOURA","PSC","SE","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ANDRES SANCHEZ","PT","SP","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ANGELIM","PT","AC","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ANTONIO BALHMANN","PROS","CE","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ANTONIO BRITO","PTB","BA","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ANTONIO BULHÕES","PRB","SP","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ARNALDO JORDY","PPS","PA","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ARNON BEZERRA","PTB","CE","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"AROLDE DE OLIVEIRA*","PSD","RJ","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ASSIS CARVALHO","PT","PI","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ASSIS DO COUTO","PT","PR","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ÁTILA LINS","PSD","AM","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ÁTILA LIRA","PSB","PI","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"AUGUSTO CARVALHO","SD","DF","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"AUREO","SD","RJ","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"BENEDITA DA SILVA","PT","RJ","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"BENITO GAMA","PTB","BA","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"BENJAMIN MARANHÃO","SD","PB","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"BETINHO GOMES","PSDB","PE","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"BETO MANSUR","PRB","SP","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"BETO ROSADO","PP","RN","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"BRUNO COVAS","PSDB","SP","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"CABO DACIOLO","PSOL","RJ","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"CAPITÃO FÁBIO ABREU*","PTB","PI","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"CARLOS MANATO","SD","ES","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"CARLOS MELLES","DEM","MG","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"CÉLIO SILVEIRA","PSDB","GO","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"CELSO MALDANER","PMDB","SC","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"CELSO RUSSOMANNO","PRB","SP","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"CÉSAR HALUM","PRB","TO","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"CHICO ALENCAR","PSOL","RJ","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"CLEBER VERDE","PRB","MA","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"CONCEIÃÃO SAMPAIO","PP","AM","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"CRISTIANE BRASIL","PTB","RJ","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"DAMIÃO FELICIANO","PDT","PB","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"DANIEL COELHO","PSDB","PE","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"DANILO FORTE","PMDB","CE","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"DARCÍSIO PERONDI","PMDB","RS","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"DÉCIO LIMA","PT","SC","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"DELEY","PTB","RJ","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"DIEGO ANDRADE","PSD","MG","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"DOMINGOS SÁVIO","PSDB","MG","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"DR. SINVAL MALHEIROS","PV","SP","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"EDIO LOPES","PMDB","RR","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"EDMAR ARRUDA","PSC","PR","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"EDMILSON RODRIGUES","PSOL","PA","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"EDUARDO BARBOSA","PSDB","MG","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"EFRAIM FILHO","DEM","PB","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ELIZIANE GAMA","PPS","MA","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ENIO VERRI","PT","PR","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"EROS BIONDINI","PTB","MG","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"ESPERIDIÃO AMIN","PP","SC","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"EVAIR DE MELO","PV","ES","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"EVANDRO GUSSI","PV","SP","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"EVANDRO ROGERIO ROMAN","PSD","PR","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"EXPEDITO NETTO","SD","RO","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"EZEQUIEL TEIXEIRA","SD","RJ","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"FABIANO HORTA","PT","RJ","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"FÁBIO RAMALHO","PV","MG","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"FAUSTO PINATO","PRB","SP","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"FELIPE MAIA","DEM","RN","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"FÉLIX MENDONÃA JÚNIOR","PDT","BA","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"FLÁVIA MORAIS","PDT","GO","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"FRANCISCO CHAPADINHA","PSD","PA","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"FRANCISCO FLORIANO","PR","RJ","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"GEOVANIA DE SÁ","PSDB","SC","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"GERALDO RESENDE","PMDB","MS","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"GIACOBO","PR","PR","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"GILBERTO NASCIMENTO","PSC","SP","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"GIOVANI CHERINI","PDT","RS","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"GIVALDO CARIMBÃO","PROS","AL","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"GIVALDO VIEIRA","PT","ES","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"GONZAGA PATRIOTA","PSB","PE","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"GOULART","PSD","SP","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"GUILHERME MUSSI","PP","SP","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"HENRIQUE FONTANA","PT","RS","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"HERCULANO PASSOS","PSD","SP","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"HUGO LEAL","PROS","RJ","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"IRMÃO LAZARO","PSC","BA","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"IVAN VALENTE","PSOL","SP","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"IZALCI","PSDB","DF","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"JAIME MARTINS","PSD","MG","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"JANDIRA FEGHALI","PCdoB","RJ","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"JEFFERSON CAMPOS","PSD","SP","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"JOÃO CAMPOS","PSDB","GO","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"JOÃO CARLOS BACELAR","PR","BA","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"JOÃO FERNANDO COUTINHO","PSB","PE","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"JOÃO MARCELO SOUZA","PMDB","MA","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
"JOÃO PAULO PAPA","PSDB","SP","Frente Parlamentar Ambientalista","03/03/2015","Sarney Filho"
